modzcta,year_month,RentIndex,y_next,target_month
11413,2022-04,2710.979783898155,2735.2415886680774,2022-05
11413,2022-05,2735.2415886680774,2762.5546389739147,2022-06
11413,2022-06,2762.5546389739147,2789.3646393311765,2022-07
11413,2022-07,2789.3646393311765,2819.5730801954974,2022-08
11413,2022-08,2819.5730801954974,2828.2598947252754,2022-09
11413,2022-09,2828.2598947252754,2846.103668008608,2022-10
11413,2022-10,2846.103668008608,2802.526758409823,2022-11
11413,2022-11,2802.526758409823,2785.644843050115,2022-12
11413,2022-12,2785.644843050115,2681.6029222412753,2023-01
11413,2023-01,2681.6029222412753,2675.139108881194,2023-02
11413,2023-02,2675.139108881194,2695.575930453343,2023-03
11413,2023-03,2695.575930453343,2710.979783898155,2023-04
11413,2023-04,2710.979783898155,2735.2415886680774,2023-05
11413,2023-05,2735.2415886680774,2762.5546389739147,2023-06
11413,2023-06,2762.5546389739147,2789.3646393311765,2023-07
11413,2023-07,2789.3646393311765,2819.5730801954974,2023-08
11413,2023-08,2819.5730801954974,2828.2598947252754,2023-09
11413,2023-09,2828.2598947252754,2846.103668008608,2023-10
11413,2023-10,2846.103668008608,2802.526758409823,2023-11
11413,2023-11,2802.526758409823,2785.644843050115,2023-12
11414,2022-01,2681.6029222412753,2675.139108881194,2022-02
11414,2022-02,2675.139108881194,2695.575930453343,2022-03
11414,2022-03,2695.575930453343,2710.979783898155,2022-04
11414,2022-04,2710.979783898155,2735.2415886680774,2022-05
11414,2022-05,2735.2415886680774,2762.5546389739147,2022-06
11414,2022-06,2762.5546389739147,2789.3646393311765,2022-07
11414,2022-07,2789.3646393311765,2819.5730801954974,2022-08
11414,2022-08,2819.5730801954974,2828.2598947252754,2022-09
11414,2022-09,2828.2598947252754,2846.103668008608,2022-10
11414,2022-10,2846.103668008608,2802.526758409823,2022-11
11414,2022-11,2802.526758409823,2785.644843050115,2022-12
11414,2022-12,2785.644843050115,2681.6029222412753,2023-01
11414,2023-01,2681.6029222412753,2675.139108881194,2023-02
